,participant_id,status,topic,response
1494,2148,student,parking,-1
1495,2149,student,parking,-2
1496,2150,student,parking,-2
1497,2153,student,parking,-1
1498,2154,student,parking,-1
1499,2157,student,parking,no_opinion
1500,2159,student,parking,-1
1501,2160,student,parking,-1
1502,2161,student,parking,no_opinion
1503,2163,student,parking,no_opinion
1504,2164,student,parking,-1
1505,2165,student,parking,no_opinion
1506,2166,student,parking,2
1507,2168,prof,parking,-2
1508,2169,wimi,parking,no_opinion
1509,2171,student,parking,0
1510,2172,student,parking,-2
1511,2174,other,parking,0
1512,2175,student,parking,1
1513,2176,student,parking,no_opinion
1514,2177,other,parking,0
1515,2180,student,parking,no_opinion
1516,2181,wimi,parking,-1
1517,2183,student,parking,no_opinion
1518,2184,student,parking,2
1519,2185,student,parking,-2
1520,2186,student,parking,no_opinion
1521,2187,student,parking,no_opinion
1522,2188,student,parking,no_opinion
1523,2189,student,parking,-1
1524,2192,student,parking,no_opinion
1525,2193,student,parking,-1
1526,2194,student,parking,no_opinion
1527,2195,student,parking,-1
1528,2196,student,parking,no_opinion
1529,2197,student,parking,2
1530,2198,student,parking,-1
1531,2200,student,parking,1
1532,2203,student,parking,0
1533,2204,student,parking,-2
1534,2205,student,parking,no_opinion
1535,2206,student,parking,-2
1536,2208,student,parking,2
1537,2209,niwi,parking,-1
1538,2210,niwi,parking,-1
1539,2212,other,parking,no_opinion
1540,2213,prof,parking,-2
1541,2214,student,parking,2
1542,2219,wimi,parking,1
1543,2221,student,parking,-2
1544,2222,student,parking,2
1545,2223,student,parking,1
1546,2224,student,parking,no_opinion
1547,2225,student,parking,no_opinion
1548,2227,student,parking,2
1549,2228,student,parking,0
1550,2229,student,parking,-1
1551,2231,student,parking,-2
1552,2232,student,parking,1
1553,2234,student,parking,-2
1554,2235,student,parking,no_opinion
1555,2236,student,parking,0
1556,2238,student,parking,2
1557,2240,student,parking,no_opinion
1558,2241,prof,parking,1
1559,2242,student,parking,2
1560,2243,student,parking,0
1561,2244,student,parking,-2
1562,2245,student,parking,-2
1563,2246,student,parking,1
1564,2247,wimi,parking,-1
1565,2248,student,parking,0
1566,2249,student,parking,0
1567,2251,wimi,parking,no_opinion
1568,2252,student,parking,0
1569,2254,student,parking,-2
1570,2255,student,parking,no_opinion
1571,2258,student,parking,no_opinion
1572,2260,student,parking,1
1573,2261,student,parking,0
1574,2262,student,parking,1
1575,2266,student,parking,no_opinion
1576,2267,student,parking,0
1577,2268,prof,parking,0
1578,2269,student,parking,no_opinion
1579,2270,student,parking,0
1580,2272,student,parking,0
1581,2275,student,parking,-1
1582,2276,student,parking,no_opinion
1583,2277,student,parking,no_opinion
1584,2278,student,parking,2
1585,2279,student,parking,-1
1586,2281,student,parking,no_opinion
1587,2282,student,parking,no_opinion
1588,2283,student,parking,no_opinion
1589,2284,prof,parking,1
1590,2285,student,parking,-1
1591,2286,student,parking,-1
1592,2287,wimi,parking,0
1593,2288,student,parking,0
1594,2290,student,parking,-2
1595,2291,student,parking,no_opinion
1596,2293,student,parking,-2
1597,2294,student,parking,-1
1598,2296,student,parking,no_opinion
1599,2298,student,parking,no_opinion
1600,2299,student,parking,1
1601,2300,other,parking,no_opinion
1602,2301,niwi,parking,0
1603,2302,student,parking,no_opinion
1604,2306,student,parking,no_opinion
1605,2307,student,parking,-1
1606,2310,niwi,parking,-2
1607,2311,other,parking,-2
1608,2312,wimi,parking,0
1609,2313,niwi,parking,1
1610,2314,niwi,parking,-2
1611,2316,niwi,parking,no_opinion
1612,2317,niwi,parking,-1
1613,2318,niwi,parking,-1
1614,2320,niwi,parking,0
1615,2321,student,parking,2
1616,2322,niwi,parking,-1
1617,2323,student,parking,-1
1618,2325,niwi,parking,-1
1619,2326,niwi,parking,-1
1620,2328,niwi,parking,-2
1621,2330,niwi,parking,-1
1622,2331,niwi,parking,1
1623,2333,niwi,parking,-2
1624,2334,niwi,parking,-1
1625,2336,niwi,parking,-1
1626,2338,niwi,parking,0
1627,2339,student,parking,no_opinion
1628,2340,niwi,parking,-2
1629,2343,niwi,parking,-1
1630,2344,niwi,parking,-1
1631,2345,student,parking,-1
1632,2346,wimi,parking,-2
1633,2347,niwi,parking,no_opinion
1634,2348,niwi,parking,-2
1635,2350,niwi,parking,2
1636,2351,student,parking,no_opinion
1637,2354,student,parking,no_opinion
1638,2355,niwi,parking,2
1639,2356,student,parking,no_opinion
1640,2357,student,parking,no_opinion
1641,2358,student,parking,-1
1642,2359,niwi,parking,0
1643,2360,niwi,parking,-2
1644,2361,niwi,parking,2
1645,2362,niwi,parking,0
1646,2363,niwi,parking,-1
1647,2364,student,parking,-1
1648,2365,niwi,parking,-1
1649,2366,niwi,parking,no_opinion
1650,2367,niwi,parking,1
1651,2368,other,parking,0
1652,2369,other,parking,2
1653,2371,niwi,parking,-1
1654,2372,niwi,parking,-2
1655,2374,niwi,parking,-2
