,participant_id,status,topic,response
1221,1793,wimi,deutschlandticket,Nein
1222,1794,student,deutschlandticket,
1223,1795,student,deutschlandticket,
1224,1796,student,deutschlandticket,
1225,1798,student,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1226,1800,student,deutschlandticket,
1227,1802,student,deutschlandticket,
1228,1803,student,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1229,1804,student,deutschlandticket,
1230,1805,student,deutschlandticket,
1231,1807,student,deutschlandticket,
1232,1808,student,deutschlandticket,
1233,1809,student,deutschlandticket,
1234,1810,wimi,deutschlandticket,Kommt darauf an...
1235,1812,student,deutschlandticket,Nein
1236,1813,student,deutschlandticket,
1237,1814,prof,deutschlandticket,Ja
1238,1817,student,deutschlandticket,
1239,1820,prof,deutschlandticket,Nein
1240,1821,student,deutschlandticket,
1241,1822,student,deutschlandticket,
1242,1823,student,deutschlandticket,
1243,1824,prof,deutschlandticket,Nein
1244,1825,niwi,deutschlandticket,Nein
1245,1826,student,deutschlandticket,
1246,1827,student,deutschlandticket,
1247,1828,student,deutschlandticket,
1248,1832,student,deutschlandticket,
1249,1833,student,deutschlandticket,
1250,1834,student,deutschlandticket,
1251,1835,student,deutschlandticket,
1252,1837,student,deutschlandticket,
1253,1838,student,deutschlandticket,
1254,1839,student,deutschlandticket,
1255,1841,wimi,deutschlandticket,Kommt darauf an...
1256,1843,student,deutschlandticket,
1257,1845,niwi,deutschlandticket,Ja
1258,1846,student,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1259,1847,wimi,deutschlandticket,Nein
1260,1848,student,deutschlandticket,Nein
1261,1849,student,deutschlandticket,
1262,1850,wimi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1263,1851,wimi,deutschlandticket,Nein
1264,1853,student,deutschlandticket,
1265,1854,student,deutschlandticket,
1266,1855,student,deutschlandticket,
1267,1856,student,deutschlandticket,
1268,1857,niwi,deutschlandticket,Nein
1269,1858,student,deutschlandticket,
1270,1859,student,deutschlandticket,
1271,1860,student,deutschlandticket,
1272,1862,student,deutschlandticket,
1273,1863,prof,deutschlandticket,Ja
1274,1865,student,deutschlandticket,
1275,1867,student,deutschlandticket,
1276,1869,student,deutschlandticket,
1277,1870,student,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1278,1871,student,deutschlandticket,
1279,1872,wimi,deutschlandticket,Ja
1280,1873,niwi,deutschlandticket,Ja
1281,1874,student,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1282,1875,prof,deutschlandticket,Ja
1283,1876,other,deutschlandticket,Nein
1284,1878,student,deutschlandticket,
1285,1880,student,deutschlandticket,
1286,1881,student,deutschlandticket,
1287,1883,student,deutschlandticket,
1288,1884,wimi,deutschlandticket,Ja
1289,1885,student,deutschlandticket,
1290,1886,student,deutschlandticket,
1291,1888,student,deutschlandticket,
1292,1889,student,deutschlandticket,
1293,1890,wimi,deutschlandticket,Nein
1294,1891,student,deutschlandticket,
1295,1892,wimi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1296,1893,student,deutschlandticket,
1297,1895,student,deutschlandticket,Ja
1298,1896,niwi,deutschlandticket,Ja
1299,1897,student,deutschlandticket,
1300,1898,student,deutschlandticket,
1301,1900,student,deutschlandticket,
1302,1901,prof,deutschlandticket,Ja
1303,1902,student,deutschlandticket,
1304,1903,student,deutschlandticket,
1305,1904,student,deutschlandticket,
1306,1905,wimi,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1307,1906,student,deutschlandticket,
1308,1907,student,deutschlandticket,
1309,1908,student,deutschlandticket,
1310,1909,student,deutschlandticket,
1311,1910,student,deutschlandticket,
1312,1913,wimi,deutschlandticket,Kommt darauf an...
1313,1914,student,deutschlandticket,
1314,1916,student,deutschlandticket,Ja
1315,1918,other,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1316,1919,prof,deutschlandticket,Nein
1317,1920,wimi,deutschlandticket,Nein
1318,1921,student,deutschlandticket,
1319,1922,student,deutschlandticket,
1320,1923,student,deutschlandticket,
1321,1924,student,deutschlandticket,
1322,1926,student,deutschlandticket,
1323,1927,student,deutschlandticket,
1324,1928,niwi,deutschlandticket,Kommt darauf an...
1325,1931,student,deutschlandticket,
1326,1932,student,deutschlandticket,
1327,1934,wimi,deutschlandticket,Ja
1328,1935,student,deutschlandticket,
1329,1936,student,deutschlandticket,
1330,1937,student,deutschlandticket,
1331,1938,student,deutschlandticket,
1332,1939,student,deutschlandticket,
1333,1941,student,deutschlandticket,
1334,1943,student,deutschlandticket,
1335,1944,student,deutschlandticket,
1336,1945,student,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1337,1946,other,deutschlandticket,Ja
1338,1949,student,deutschlandticket,
1339,1950,student,deutschlandticket,
1340,1951,student,deutschlandticket,
1341,1952,prof,deutschlandticket,Nein
1342,1954,student,deutschlandticket,
1343,1957,student,deutschlandticket,
1344,1958,student,deutschlandticket,
1345,1960,student,deutschlandticket,
1346,1961,student,deutschlandticket,
1347,1962,student,deutschlandticket,
1348,1966,student,deutschlandticket,
1349,1967,student,deutschlandticket,
1350,1968,student,deutschlandticket,
1351,1969,student,deutschlandticket,
1352,1970,prof,deutschlandticket,Nein
1353,1971,student,deutschlandticket,
1354,1972,student,deutschlandticket,
1355,1973,student,deutschlandticket,
1356,1975,student,deutschlandticket,
1357,1976,student,deutschlandticket,
1358,1977,niwi,deutschlandticket,Nein
1359,1978,student,deutschlandticket,
1360,1980,other,deutschlandticket,Kommt darauf an...
1361,1981,student,deutschlandticket,
1362,1982,wimi,deutschlandticket,Nein
1363,1983,student,deutschlandticket,
1364,1984,student,deutschlandticket,
1365,1986,student,deutschlandticket,
1366,1987,wimi,deutschlandticket,Nein
1367,1989,student,deutschlandticket,
1368,1991,niwi,deutschlandticket,Kommt darauf an...
1369,1992,wimi,deutschlandticket,Ja
1370,1994,student,deutschlandticket,
1371,1995,student,deutschlandticket,
1372,1997,student,deutschlandticket,
1373,1998,student,deutschlandticket,
1374,2000,student,deutschlandticket,
1375,2001,prof,deutschlandticket,Kommt darauf an...
1376,2002,student,deutschlandticket,
1377,2003,student,deutschlandticket,
1378,2004,wimi,deutschlandticket,Ja
1379,2005,wimi,deutschlandticket,Ja
1380,2006,student,deutschlandticket,
1381,2007,other,deutschlandticket,Ich habe schon ein Deutschlandticket o.ä.
1382,2008,student,deutschlandticket,
1383,2009,wimi,deutschlandticket,Ja
1384,2010,student,deutschlandticket,
1385,2011,student,deutschlandticket,
1386,2012,student,deutschlandticket,
1387,2013,student,deutschlandticket,
1388,2014,niwi,deutschlandticket,Nein
1389,2015,student,deutschlandticket,
1390,2018,student,deutschlandticket,
1391,2020,prof,deutschlandticket,Nein
1392,2021,student,deutschlandticket,
1393,2022,student,deutschlandticket,
1394,2023,student,deutschlandticket,Nein
1395,2024,student,deutschlandticket,
1396,2026,niwi,deutschlandticket,Ja
1397,2029,student,deutschlandticket,
1398,2030,student,deutschlandticket,
1399,2031,student,deutschlandticket,
