,participant_id,status,main_vehicle,topic,response
4289,2994,student,walk,future,no_opinion
4290,2995,student,bicycle,present,2
4291,2995,student,bicycle,future,no_opinion
4292,2998,student,bicycle,present,2
4293,2998,student,bicycle,future,-1
4294,2999,niwi,bus,present,2
4295,2999,niwi,bus,future,-1
4296,3000,student,bus,present,1
4297,3000,student,bus,future,1
4298,3003,student,car-driver,present,-1
4299,3003,student,car-driver,future,1
4300,3005,student,bus,present,1
4301,3005,student,bus,future,-2
4302,3006,other,train-short,present,2
4303,3006,other,train-short,future,-1
4304,3008,student,bus,present,2
4305,3008,student,bus,future,-1
4306,3009,student,bus,present,2
4307,3009,student,bus,future,no_answer
4308,3010,student,bus,present,1
4309,3010,student,bus,future,1
4310,3011,niwi,train-short,present,1
4311,3011,niwi,train-short,future,-1
4312,3012,student,bus,present,1
4313,3012,student,bus,future,-1
4314,3013,student,train-short,present,2
4315,3013,student,train-short,future,no_opinion
4316,3014,student,walk,present,2
4317,3014,student,walk,future,no_opinion
4318,3015,wimi,bicycle,present,2
4319,3015,wimi,bicycle,future,-1
4320,3017,niwi,bicycle,present,1
4321,3017,niwi,bicycle,future,-1
4322,3018,student,car-driver,present,-1
4323,3018,student,car-driver,future,-1
4324,3019,student,bus,present,1
4325,3019,student,bus,future,0
4326,3020,student,car-driver,present,-2
4327,3020,student,car-driver,future,-1
4328,3022,student,bicycle,present,2
4329,3022,student,bicycle,future,2
4330,3023,student,bus,present,2
4331,3023,student,bus,future,-1
4332,3024,student,bus,present,2
4333,3024,student,bus,future,0
4334,3026,student,train-far,present,-1
4335,3026,student,train-far,future,1
4336,3029,niwi,car-driver,present,-1
4337,3029,niwi,car-driver,future,0
4338,3030,student,bicycle,present,1
4339,3030,student,bicycle,future,0
4340,3031,student,car-driver,present,-2
4341,3031,student,car-driver,future,-2
4342,3033,student,bicycle,present,2
4343,3033,student,bicycle,future,-2
4344,3035,student,train-short,present,1
4345,3035,student,train-short,future,1
4346,3036,student,bus,present,no_opinion
4347,3036,student,bus,future,no_opinion
4348,3037,student,car-driver,present,-1
4349,3037,student,car-driver,future,0
4350,3039,other,bicycle,present,2
4351,3039,other,bicycle,future,no_answer
4352,3040,student,bus,present,1
4353,3040,student,bus,future,no_opinion
4354,3041,student,train-short,present,2
4355,3041,student,train-short,future,-2
4356,3042,student,bus,present,1
4357,3042,student,bus,future,-1
4358,3043,student,car-driver,present,1
4359,3043,student,car-driver,future,-2
4360,3044,student,bicycle,present,2
4361,3044,student,bicycle,future,1
4362,3045,wimi,walk,present,2
4363,3045,wimi,walk,future,-2
4364,3046,niwi,car-driver,present,-1
4365,3046,niwi,car-driver,future,no_opinion
4366,3047,student,bus,present,1
4367,3047,student,bus,future,0
4368,3050,student,bus,present,1
4369,3050,student,bus,future,-1
4370,3051,student,bus,present,0
4371,3051,student,bus,future,1
4372,3053,student,car-driver,present,-1
4373,3053,student,car-driver,future,0
4374,3054,student,car-driver,present,-1
4375,3054,student,car-driver,future,-1
4376,3056,student,bus,present,2
4377,3056,student,bus,future,-1
4378,3057,student,bicycle,present,2
4379,3057,student,bicycle,future,0
4380,3058,student,,present,2
4381,3058,student,,future,0
4382,3060,student,train-short,present,-1
4383,3060,student,train-short,future,1
4384,3061,wimi,bus,present,0
4385,3061,wimi,bus,future,0
